strategy_dir,file_path,module_type,short_description,reusable_in_shared,reason,lines_of_code
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol_1m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,146
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707/run_backtest.py,data_utils,"functions: _trade_rows, _bars_per_year, _strategy_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,220
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,467
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_049/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol_1m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,146
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_049/run_backtest.py,data_utils,"functions: _trade_rows, _bars_per_year, _strategy_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,220
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_049/run_cpcv.py,data_utils,"functions: _sanitize, _equity_returns, _purge, _embargo, _run_cpcv",yes,data loading/universe/calendar utilities belong in _shared/data,249
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_049/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,467
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_050/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol_1m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,146
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_050/run_backtest.py,data_utils,"functions: _trade_rows, _bars_per_year, _strategy_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,220
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_050/run_cpcv.py,data_utils,"functions: _sanitize, _equity_returns, _purge, _embargo, _run_cpcv",yes,data loading/universe/calendar utilities belong in _shared/data,249
